Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0402,1,39pF 50V,C105882
"C10, C14, C19, C2, C20, C23, C24, C26, C28, C29, C3, C37, C38, C4, C40, C7, C8",C_0402,17,100nF 50V,C105882
"C11, C12, C15, C17, C21, C32",C_0805,6,"22uF, 35V",
"C13, C18, C22, C25, C27, C30",C_0402,6,1nF 50V,C106205
"C16, C33, C34, C35, C39, C5",C_0603,6,22uF 10V,C86295
C31,C_0402,1,39pF 50V,
C6,C_0402,1,2.7nF 50V,
C9,C_0805,1,10uF 50V,C2932476
"D1, D2",R_0402,2,RB161QS-40T18R,C2837790
"DS1, DS3",DS_0402,2,BLUE,C965795
DS2,DS_Everlight_IR21-21CL110TR8,1,RED,
"J1, J2, J3, J4",Pins-2.54-1x3,4,Pins_2.54_1x3,
L1,L_4.2x4.2,1,1.5uH,
"L2, L3, L4, L5",FB_0402,4,600R,
"R1, R3",R_0402,2,619R 1%,C309549
"R10, R24",R_0603,2,2.2K 5% ,
"R11, R12",R_0402,2,120R 1%,C114758
"R17, R18",R_0402,2,1K 1%,C2935237
R19,R_0402,1,10K 1%,C60490
R2,R_0402,1,15.8K 1%,
R20,R_0402,1,100K 1%,C60491
R21,R_0402,1,115.8K 1%,
R22,R_0402,1,22.1K 1%,C226367
R23,R_0402,1,100K 1%,
"R4, R5",R_0402,2,10K 1%,C309549
S1,Twist_Switch_M4,1,Twist_Switch_M4,
"TP2, TP3, TP4",TestPoint_Pad_D1.5mm,3,TestPoint,
"U1, U2",VQFN-HR-16,2,DRV8244S-Q1,C3681071
U3,SOT23_3,1,LR7533-T,C486069
U5,SOIC_8_EP,1,AP64500SP-13,
U6,LQFP32_08_7x7,1,STM32C031KxTx,
U7,QFN32_05_5x5_EP,1,STM32C031KxUx,DNP
