Designator,Mid X,Mid Y,Rotation,Layer
C1,31.9,-9.4,0.0,top
C10,38.0,-6.2,180.0,top
C11,49.0,-10.0,0.0,top
C12,49.0,-12.0,0.0,top
C13,8.75,-12.0,180.0,top
C14,25.0,-9.15,90.0,top
C15,49.0,-8.0,0.0,top
C16,1.5,-8.9,90.0,top
C17,49.0,-14.0,0.0,top
C18,8.75,-10.0,180.0,top
C19,10.85,-12.0,90.0,top
C2,1.7,-14.1,180.0,top
C20,16.5,-16.9,0.0,top
C21,49.0,-16.0,0.0,top
C22,8.76,-15.0,180.0,top
C23,37.75,-19.75,90.0,top
C24,25.0,-12.8,90.0,top
C25,8.75,-13.0,180.0,top
C26,38.0,-21.9,180.0,top
C27,11.85,-8.4,270.0,top
C28,12.85,-12.0,90.0,top
C29,22.5,-16.9,180.0,top
C3,34.75,-19.75,270.0,top
C30,12.85,-8.4,90.0,top
C31,31.9,-7.4,180.0,top
C32,49.0,-18.0,0.0,top
C33,29.3,-2.85,0.0,top
C34,29.3,-4.25,0.0,top
C35,29.3,-1.44,0.0,top
C37,31.9,-13.4,0.0,top
C38,8.75,-8.0,180.0,top
C39,29.3,-5.65,0.0,top
C4,3.7,-14.1,0.0,top
C40,25.0,-11.0,90.0,top
C5,3.9,-8.9,90.0,top
C6,31.9,-11.4,0.0,top
C7,25.5,-21.9,180.0,top
C8,13.5,-21.9,180.0,top
C9,49.0,-20.0,0.0,top
D1,2.7,-8.8,90.0,top
D2,38.75,-19.75,90.0,top
DS1,7.0,-19.75,270.0,top
DS2,45.5,-12.5,270.0,top
DS3,32.25,-19.75,270.0,top
J1,11.04,-2.0,90.0,top
J2,19.04,-2.0,90.0,top
J3,6.35,-11.22,0.0,top
J4,3.81,-16.3,270.0,top
L1,25.5,-3.55,90.0,top
L2,8.75,-9.0,0.0,top
L3,8.75,-11.0,0.0,top
L4,8.75,-14.0,0.0,top
L5,8.75,-16.0,0.0,top
M1,3.5,-3.0,0.0,top
M2,48.0,-3.0,0.0,top
M3,3.5,-25.0,0.0,top
M4,48.0,-25.0,0.0,top
N1,41.0,-25.5,270.0,bottom
N10,10.5,-25.5,270.0,top
N13,41.0,-2.5,90.0,top
N14,35.0,-2.5,90.0,bottom
N2,35.0,-25.5,270.0,top
N3,28.5,-25.5,270.0,bottom
N4,22.5,-25.5,270.0,top
N9,16.5,-25.5,270.0,bottom
R1,13.85,-12.0,90.0,top
R10,44.65,-16.25,90.0,top
R11,33.25,-19.75,270.0,top
R12,6.0,-19.75,270.0,top
R17,10.85,-8.4,270.0,top
R18,13.85,-8.4,270.0,top
R19,35.75,-19.75,270.0,top
R2,31.9,-10.4,0.0,top
R20,36.75,-19.75,90.0,top
R21,31.9,-6.4,180.0,top
R22,31.9,-8.4,0.0,top
R23,31.9,-12.4,0.0,top
R24,46.25,-16.25,90.0,top
R3,11.85,-12.0,90.0,top
R4,20.425,-16.9,0.0,top
R5,18.575,-16.9,180.0,top
S1,39.0,-12.5,0.0,top
U1,25.5,-17.6,0.0,top
U2,13.5,-17.6,0.0,top
U3,2.7,-11.8,270.0,top
U5,28.2,-10.0,90.0,top
U6,19.5,-11.1,180.0,top
U7,19.5,-11.1,180.0,top
