Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C16, C18, C19, C20, C21, C22, C5",C_0603,10,10uF 25V,
"C10, C14, C2, C23, C3, C4, C6, C7, C8",C_0402,9,100nF 50V,
C13,C_0402,1,10nF 50V,
C15,C_0603,1,10uF 25V,
C17,C_0402,1,100nF 25V,
C9,C_0402,1,1uF 25V,
D1,D_SOD_523,1,RB520S40-AU,C2992441
"DS1, DS2",DS_0603,2,BLUE,C965807
DS4,DS_0603,1,RED,C510294
NTC1,R_0402,1,NCP15XH103J03RC,C96633
"Q1, Q11",DFN8_3x3_065_Dual,2,HXY304DF,C3033454
"Q10, Q2, Q7, Q8, Q9",DFN8_3x3_065,5,AP50N03DF,C3011272
"Q3, Q4, Q5, Q6",DFN8_3x3_065,4,AP30P30Q,C471913
"R1, R14, R16, R17, R18, R19, R21, R22, R23, R3, R4, R5, R6, R7, R8",R_0402,15,1K 1%,
R10,R_0402,1,300R 1%,
"R11, R12",R_0402,2,120R 1%,
R15,R_0402,1,1K 1%,R_Resistor:R_0402
R2,R_0402,1,240 1%,
R20,R_0402,1, 1K 1%,
R24,R_0402,1,100K 1%,
R25,R_0402,1,10K 1%,C98220
R27,R_0402,1,720 1%,
R28,R_0402,1,10K 1%,
U3,SOT23_3,1,LR7533-T,C486069
U4,SOT223_3,1,LM317EMPX/NOPB,C352843
U5,TSSOP20_4.4mm,1,STM32C011F4P6,C5452432
