Designator,Mid X,Mid Y,Rotation,Layer
C1,-30.97,26.59,90.0,top
C10,-31.97,26.59,90.0,top
C11,-33.97,30.94,180.0,top
C12,-47.17,19.29,180.0,top
C14,-43.37,22.84,180.0,top
C15,-20.77,21.69,0.0,top
C16,-33.97,29.74,180.0,top
C17,-33.97,28.265,180.0,top
C19,-47.57,25.89,180.0,top
C2,-47.57,20.49,180.0,top
C20,-47.57,26.89,180.0,top
C23,-35.97,26.59,270.0,top
C28,-20.37,25.89,0.0,top
C29,-20.37,26.89,0.0,top
C3,-33.97,31.89,180.0,top
C4,-45.37,22.84,0.0,top
C5,-47.17,21.69,180.0,top
C6,-33.97,19.99,270.0,top
C7,-23.97,31.89,0.0,top
C8,-43.97,31.89,0.0,top
C9,-20.77,19.24,0.0,top
D1,-20.62,20.49,180.0,top
D2,-34.97,26.59,90.0,top
DS1,-47.57,23.89,0.0,top
DS2,-33.97,26.59,270.0,top
DS3,-20.36,23.89,180.0,top
N11,-31.47,35.69,90.0,bottom
N12,-36.47,35.69,90.0,bottom
N13,-26.47,35.69,90.0,bottom
N14,-21.47,35.69,90.0,bottom
N15,-46.47,35.69,90.0,top
N16,-41.47,35.69,90.0,bottom
R1,-20.37,24.89,0.0,top
R10,-32.97,26.59,90.0,top
R11,-20.37,22.89,0.0,top
R12,-47.57,22.89,180.0,top
R2,-33.97,21.99,90.0,top
R24,-36.97,26.59,270.0,top
R25,-37.97,26.59,90.0,top
R27,-33.97,23.89,90.0,top
R3,-47.57,24.89,180.0,top
R6,-39.97,26.58,270.0,top
R7,-38.97,26.59,270.0,top
U1,-23.97,27.59,180.0,top
U2,-43.97,27.59,180.0,top
U3,-44.37,20.49,0.0,top
U4,-29.07,21.94,0.0,top
U5,-38.27,22.19,270.0,top
